,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,TX,513575,3717188.0,,6879.0,,2479.0,,,,375760.0,A,8/13/2020 17:30,2020-08-13T17:30:00Z,08/13 13:30,9289.0,,2020-08-13T17:30:00Z,4230763.0,,,513575,,,,,302012.0,20800.0,281212.0,,,,,,16699.0,2562.0,48,6755,117648,4230763,4230763,124403,4230763,255,0,da9b679f955939f6646255d3248038e4eca3e760,0,0,0,0,0,
1,20200812,TX,506820,3599540.0,,7028.0,,2479.0,,,,367354.0,A,8/12/2020 17:05,2020-08-12T17:05:00Z,08/12 13:05,9034.0,,2020-08-12T17:05:00Z,4106360.0,,,506820,,,,,299037.0,20241.0,278796.0,,,,,,16409.0,2536.0,48,6200,11297,4106360,4106360,17497,4106360,324,0,807b17fe1564e4c79b944cd314f105fcc3d011d5,0,0,0,0,0,
2,20200811,TX,500620,3588243.0,,7216.0,,2495.0,,,,358312.0,A,8/11/2020 16:25,2020-08-11T16:25:00Z,08/11 12:25,8710.0,,2020-08-11T16:25:00Z,4088863.0,,,500620,,,,,295617.0,19800.0,275817.0,,,,,,15569.0,2432.0,48,9803,5399,4088863,4088863,15202,4088863,220,0,50fbe06c61500aad17f62eb1baf0250f3adb3971,0,0,0,0,0,
3,20200810,TX,490817,3582844.0,,7304.0,,2552.0,,,,349833.0,A,8/10/2020 18:20,2020-08-10T18:20:00Z,08/10 14:20,8490.0,,2020-08-10T18:20:00Z,4073661.0,,,490817,,,,,290944.0,18924.0,272020.0,,,,,,14841.0,2350.0,48,4455,43342,4073661,4073661,47797,4073661,31,0,2e310dbe98374def7109a1c53854e485624c0532,0,0,0,0,0,
4,20200809,TX,486362,3539502.0,,7437.0,,2608.0,,,,344845.0,A,8/9/2020 16:20,2020-08-09T16:20:00Z,08/09 12:20,8459.0,,2020-08-09T16:20:00Z,4025864.0,,,486362,,,,,288928.0,18561.0,270367.0,,,,,,14466.0,2319.0,48,4879,8328,4025864,4025864,13207,4025864,116,0,2460e0a107a8b66c350a4ae41714a70e741edb6f,0,0,0,0,0,
5,20200808,TX,481483,3531174.0,,7872.0,,2730.0,,,,338343.0,A,8/8/2020 16:35,2020-08-08T16:35:00Z,08/08 12:35,8343.0,,2020-08-08T16:35:00Z,4012657.0,,,481483,,,,,280434.0,16924.0,263510.0,,,,,,13887.0,2227.0,48,6959,5166,4012657,4012657,12125,4012657,247,0,492e3071d0ad5ef37152407f7e3d053df753fe77,0,0,0,0,0,
6,20200807,TX,474524,3526008.0,,8065.0,,2742.0,,,,331668.0,A,8/7/2020 17:45,2020-08-07T17:45:00Z,08/07 13:45,8096.0,,2020-08-07T17:45:00Z,4000532.0,,,474524,,,,,276849.0,15364.0,261485.0,,,,,,2206.0,505.0,48,7039,49013,4000532,4000532,56052,4000532,293,0,072d3a8dbf490ea5b1d9bb642154f1d3def31c1e,0,0,0,0,0,
7,20200806,TX,467485,3476995.0,,8302.0,,2917.0,,,,323804.0,A,8/6/2020 16:15,2020-08-06T16:15:00Z,08/06 12:15,7803.0,,2020-08-06T16:15:00Z,3944480.0,,,467485,,,,,276849.0,15364.0,261485.0,,,,,,,,48,7598,28647,3944480,3944480,36245,3944480,306,0,c5606ccd0a64048fc1105483541aa8970180dbed,0,0,0,0,0,
8,20200805,TX,459887,3448348.0,,8455.0,,2917.0,,,,315652.0,A,8/5/2020 16:30,2020-08-05T16:30:00Z,08/05 12:30,7497.0,,2020-08-05T16:30:00Z,3908235.0,,,459887,,,,,268978.0,14535.0,254443.0,,,,,,,,48,8706,14681,3908235,3908235,23387,3908235,236,0,779516aea62d249325d135defb392a33685db83c,0,0,0,0,0,
9,20200804,TX,451181,3433667.0,,8674.0,,3006.0,,,,306262.0,A,8/4/2020 16:45,2020-08-04T16:45:00Z,08/04 12:45,7261.0,,2020-08-04T16:45:00Z,3884848.0,,,451181,,,,,258494.0,13478.0,245016.0,,,,,,,,48,9167,41095,3884848,3884848,50262,3884848,245,0,86a2044c9d533a86895628d0e2230623ebfa748c,0,0,0,0,0,
10,20200803,TX,442014,3392572.0,,8819.0,,3045.0,,,,297422.0,A,8/3/2020 16:20,2020-08-03T16:20:00Z,08/03 12:20,7016.0,,2020-08-03T16:20:00Z,3834586.0,,,442014,,,,,243777.0,12054.0,231723.0,,,,,,,,48,11529,75278,3834586,3834586,86807,3834586,179,0,7e1f972c65dedc727a7ea1491f6a82c90950f63d,0,0,0,0,0,
