,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,UT,45424,539232.0,,206.0,2721.0,74.0,694.0,,281.0,35817.0,A+,8/13/2020 10:46,2020-08-13T10:46:00Z,08/13 06:46,353.0,2721.0,2020-08-13T10:46:00Z,709307.0,,,45424,,,,584656.0,,,,,,,,,,,49,334,3113,584656,584656,3447,584656,2,25,0aded453574f17a54c065bb8f8fe06d88e7c1af3,0,0,0,0,0,
1,20200812,UT,45090,536119.0,,236.0,2696.0,79.0,690.0,,279.0,35311.0,A+,8/12/2020 10:39,2020-08-12T10:39:00Z,08/12 06:39,351.0,2696.0,2020-08-12T10:39:00Z,704270.0,,,45090,,,,581209.0,,,,,,,,,,,49,338,2322,581209,581209,2660,581209,2,19,f7f048858f066b87ecd48cab2b17c036f6125f4a,0,0,0,0,0,
2,20200811,UT,44752,533797.0,,208.0,2677.0,81.0,685.0,,277.0,34764.0,A+,8/11/2020 11:14,2020-08-11T11:14:00Z,08/11 07:14,349.0,2677.0,2020-08-11T11:14:00Z,700182.0,,,44752,,,,578549.0,,,,,,,,,,,49,362,3627,578549,578549,3989,578549,4,35,c1891c76362351c0258621682f3198b35ce33a8a,0,0,0,0,0,
3,20200810,UT,44390,530170.0,,222.0,2642.0,79.0,673.0,,275.0,34319.0,A+,8/10/2020 10:59,2020-08-10T10:59:00Z,08/10 06:59,345.0,2642.0,2020-08-10T10:59:00Z,694668.0,,,44390,,,,574560.0,,,,,,,,,,,49,263,3684,574560,574560,3947,574560,9,22,016cc213d8e4ebe000700d3f166cf1880784f9fa,0,0,0,0,0,
4,20200809,UT,44127,526486.0,,224.0,2620.0,78.0,669.0,,274.0,33914.0,A+,8/9/2020 11:38,2020-08-09T11:38:00Z,08/09 07:38,336.0,2620.0,2020-08-09T11:38:00Z,689272.0,,,44127,,,,570613.0,,,,,,,,,,,49,376,3882,570613,570613,4258,570613,1,16,ddc863120bad663d29fbb5a0d946a4fc4fd7323f,0,0,0,0,0,
5,20200808,UT,43751,522604.0,,222.0,2604.0,77.0,667.0,,272.0,33115.0,A+,8/8/2020 11:03,2020-08-08T11:03:00Z,08/08 07:03,335.0,2604.0,2020-08-08T11:03:00Z,683550.0,,,43751,,,,566355.0,,,,,,,,,,,49,376,6879,566355,566355,7255,566355,0,26,990442904931af01e5bf8e36817d581f5bf1b589,0,0,0,0,0,
6,20200807,UT,43375,515725.0,,234.0,2578.0,81.0,657.0,,269.0,32371.0,A+,8/7/2020 10:33,2020-08-07T10:33:00Z,08/07 06:33,335.0,2578.0,2020-08-07T10:33:00Z,673509.0,,,43375,,,,559100.0,,,,,,,,,,,49,460,3249,559100,559100,3709,559100,5,24,d6c9aa3cf356b38722392dde5062d5735847dc9d,0,0,0,0,0,
7,20200806,UT,42915,512476.0,,220.0,2554.0,80.0,657.0,,266.0,31619.0,A+,8/6/2020 10:42,2020-08-06T10:42:00Z,08/06 06:42,330.0,2554.0,2020-08-06T10:42:00Z,667936.0,,,42915,,,,555391.0,,,,,,,,,,,49,587,4482,555391,555391,5069,555391,3,35,abf570f55cf160ef4bd9adbcacb6452b09008906,0,0,0,0,0,
8,20200805,UT,42328,507994.0,,220.0,2519.0,81.0,650.0,,265.0,30911.0,A+,8/5/2020 09:57,2020-08-05T09:57:00Z,08/05 05:57,327.0,2519.0,2020-08-05T09:57:00Z,660553.0,,,42328,,,,550322.0,,,,,,,,,,,49,421,4945,550322,550322,5366,550322,6,37,82abca886987085c32f2fca801fafb5922664f1d,0,0,0,0,0,
9,20200804,UT,41907,503049.0,,220.0,2482.0,81.0,640.0,,261.0,30449.0,A+,8/4/2020 10:30,2020-08-04T10:30:00Z,08/04 06:30,321.0,2482.0,2020-08-04T10:30:00Z,653315.0,,,41907,,,,544956.0,,,,,,,,,,,49,378,4396,544956,544956,4774,544956,7,32,de3cda9f1f7e11be7d7b6c26b9d243f2411ced13,0,0,0,0,0,
