,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,VA,104838,1215434,439.0,1299.0,14776.0,268.0,,150.0,,13477.0,A+,8/13/2020 17:00,2020-08-13T17:00:00Z,08/13 13:00,2370.0,14776.0,2020-08-13T17:00:00Z,,,,100603.0,2255.0,115.0,1316037.0,,113179.0,,,,,,,,,,51,1216,12953,1320711,1320272,14169,1320272,7,129,e544d2e022da31d7d7ac32aff2d58174bde21ba9,0,0,0,0,0,
1,20200813,VA,103622,1202481,390.0,1258.0,14647.0,289.0,,141.0,,13389.0,A+,8/12/2020 17:00,2020-08-12T17:00:00Z,08/12 13:00,2363.0,14647.0,2020-08-12T17:00:00Z,,,,99428.0,2248.0,115.0,1301909.0,,112540.0,,,,,,,,,,51,1101,17446,1306493,1306103,18547,1306103,11,119,43477ff2efdc6a383736255eafcafc76a2e50b52,0,0,0,0,0,
2,20200812,VA,102521,1185035,397.0,1281.0,14528.0,290.0,,142.0,,13247.0,A+,8/11/2020 17:00,2020-08-11T17:00:00Z,08/11 13:00,2352.0,14528.0,2020-08-11T17:00:00Z,,,,98374.0,2238.0,114.0,1283409.0,,111414.0,,,,,,,,,,51,776,15235,1287953,1287556,16011,1287556,8,83,01c8dfbe854999eafd725e8bf5ace8438f840cc8,0,0,0,0,0,
3,20200811,VA,101745,1169800,427.0,1293.0,14445.0,280.0,,148.0,,13152.0,A+,8/10/2020 17:00,2020-08-10T17:00:00Z,08/10 13:00,2344.0,14445.0,2020-08-10T17:00:00Z,,,,97712.0,2232.0,112.0,1267512.0,,110946.0,,,,,,,,,,51,996,9002,1271972,1271545,9998,1271545,17,233,1d21ae501ac89a78864f257d483b814ab934127a,0,0,0,0,0,
4,20200810,VA,100749,1160798,396.0,1251.0,14212.0,279.0,,159.0,,12961.0,A+,8/9/2020 17:00,2020-08-09T17:00:00Z,08/09 13:00,2327.0,14212.0,2020-08-09T17:00:00Z,,,,96807.0,2215.0,112.0,1257605.0,,110790.0,,,,,,,,,,51,663,16626,1261943,1261547,17289,1261547,1,89,94708b832baa9634140daaf55c74ed96968148d8,0,0,0,0,0,
5,20200809,VA,100086,1144172,344.0,1200.0,14123.0,260.0,,146.0,,12923.0,A+,8/8/2020 17:00,2020-08-08T17:00:00Z,08/08 13:00,2326.0,14123.0,2020-08-08T17:00:00Z,,,,96167.0,2214.0,112.0,1240339.0,,110147.0,,,,,,,,,,51,897,20333,1244602,1244258,21230,1244258,4,22,62448d7486554fca1d44719eb911f2695d8c8a70,0,0,0,0,0,
6,20200808,VA,99189,1123839,362.0,1258.0,14101.0,271.0,,145.0,,12843.0,A+,8/7/2020 17:00,2020-08-07T17:00:00Z,08/07 13:00,2322.0,14101.0,2020-08-07T17:00:00Z,,,,95326.0,2211.0,111.0,1219165.0,,109468.0,,,,,,,,,,51,1307,12976,1223390,1223028,14283,1223028,5,4,9f0aff7e8b0d8f0dadeae065e92c67fc073515ee,0,0,0,0,0,
7,20200807,VA,97882,1110863,475.0,1372.0,14097.0,284.0,,159.0,,12725.0,A+,8/6/2020 17:00,2020-08-06T17:00:00Z,08/06 13:00,2317.0,14097.0,2020-08-06T17:00:00Z,,,,94141.0,2208.0,109.0,1205004.0,,108689.0,,,,,,,,,,51,2015,11803,1209220,1208745,13818,1208745,18,113,4ee154455d458ea242c33c4004ea459e6b5b815a,0,0,0,0,0,
8,20200806,VA,95867,1099060,474.0,1349.0,13984.0,284.0,,157.0,,12635.0,A+,8/5/2020 17:00,2020-08-05T17:00:00Z,08/05 13:00,2299.0,13984.0,2020-08-05T17:00:00Z,,,,92244.0,2191.0,108.0,1191304.0,,107953.0,,,,,,,,,,51,818,14353,1195401,1194927,15171,1194927,25,158,c270ddef3fcc8fdb5cc102bcf19810ec25587db5,0,0,0,0,0,
9,20200805,VA,95049,1084707,423.0,1304.0,13826.0,283.0,,144.0,,12522.0,A+,8/4/2020 17:00,2020-08-04T17:00:00Z,08/04 13:00,2274.0,13826.0,2020-08-04T17:00:00Z,,,,91473.0,2164.0,110.0,1176180.0,,106956.0,,,,,,,,,,51,798,10920,1180179,1179756,11718,1179756,30,186,ed6fa58d09bcb2a19db815e083bff68fc32950c4,0,0,0,0,0,
