,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200716,WI,43139,699670,154.0,310.0,3968.0,88.0,811.0,,,30555.0,A+,7/16/2020 16:00,2020-07-16T16:00:00Z,07/16 12:00,838.0,3968.0,2020-07-16T16:00:00Z,,,,39627,831.0,7.0,55,942,13371,742963,742809,14313,742809,4,45,4648619a6c6f1cdd127fefd2aa0080bf380fef88,0,0,0,0,0,
1,20200715,WI,42197,686299,177.0,295.0,3923.0,88.0,810.0,,,29923.0,A+,7/15/2020 16:00,2020-07-15T16:00:00Z,07/15 12:00,834.0,3923.0,2020-07-15T16:00:00Z,,,,38727,827.0,7.0,55,848,13104,728673,728496,13952,728496,1,31,36b8860aea355d913276c53f7c8296914bde8081,0,0,0,0,0,
2,20200714,WI,41349,673195,147.0,293.0,3892.0,83.0,804.0,,,29275.0,A+,7/14/2020 16:00,2020-07-14T16:00:00Z,07/14 12:00,833.0,3892.0,2020-07-14T16:00:00Z,,,,37906,826.0,7.0,55,967,13716,714691,714544,14683,714544,6,42,cf5e4ba6be841f4b5835b3851f47dab203c6e19d,0,0,0,0,0,
3,20200713,WI,40382,659479,143.0,283.0,3850.0,85.0,800.0,,,28670.0,A+,7/13/2020 16:00,2020-07-13T16:00:00Z,07/13 12:00,827.0,3850.0,2020-07-13T16:00:00Z,,,,36942,820.0,7.0,55,505,6127,700004,699861,6632,699861,0,26,fb8afa59210788bf01d775f1cd0554c0fc308f56,0,0,0,0,0,
4,20200712,WI,39877,653352,148.0,264.0,3824.0,74.0,800.0,,,28318.0,A+,7/12/2020 16:00,2020-07-12T16:00:00Z,07/12 12:00,827.0,3824.0,2020-07-12T16:00:00Z,,,,36448,820.0,7.0,55,797,6848,693377,693229,7645,693229,-1,27,eabe76269b2fa805571988d77a803c1a308f153c,0,0,0,0,0,
5,20200711,WI,39080,646504,155.0,265.0,3797.0,75.0,797.0,,,27909.0,A+,7/11/2020 16:00,2020-07-11T16:00:00Z,07/11 12:00,828.0,3797.0,2020-07-11T16:00:00Z,,,,35679,821.0,7.0,55,981,11093,685739,685584,12074,685584,7,31,635bbc689a71e8d180c7641ca79522355e112177,0,0,0,0,0,
6,20200710,WI,38099,635411,151.0,274.0,3766.0,77.0,792.0,,,27329.0,A+,7/10/2020 16:00,2020-07-10T16:00:00Z,07/10 12:00,821.0,3766.0,2020-07-10T16:00:00Z,,,,34753,814.0,7.0,55,889,11857,673661,673510,12746,673510,5,40,79bfe568c25935f0fa66525e5e2f068a1375c7f1,0,0,0,0,0,
7,20200709,WI,37210,623554,168.0,285.0,3726.0,76.0,787.0,,,26792.0,A+,7/9/2020 16:00,2020-07-09T16:00:00Z,07/09 12:00,816.0,3726.0,2020-07-09T16:00:00Z,,,,33908,809.0,7.0,55,800,12404,660932,660764,13204,660764,2,43,cf2692d56acb1af8f0bcbedcaf09f0e2231c5327,0,0,0,0,0,
8,20200708,WI,36410,611150,152.0,276.0,3683.0,74.0,787.0,,,26305.0,A+,7/8/2020 16:00,2020-07-08T16:00:00Z,07/08 12:00,814.0,3683.0,2020-07-08T16:00:00Z,,,,33154,807.0,7.0,55,645,10138,647712,647560,10783,647560,2,44,490ea3dd50ed21b34878fc5bb51041cd694d7820,0,0,0,0,0,
9,20200707,WI,35765,601012,164.0,254.0,3639.0,69.0,777.0,,,25758.0,A+,7/7/2020 16:00,2020-07-07T16:00:00Z,07/07 12:00,812.0,3639.0,2020-07-07T16:00:00Z,,,,32556,805.0,7.0,55,535,12099,636941,636777,12634,636777,9,37,68c1b906c2e59084f7869c55ffaca3cb37059be1,0,0,0,0,0,
