,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,WY,3119,56452.0,,14.0,189.0,,,,,2601.0,B,8/13/2020 17:51,2020-08-13T17:51:00Z,08/13 13:51,30.0,189.0,2020-08-13T17:51:00Z,85285.0,2643.0,82641.0,2627.0,,,,59079.0,,,,,,,,,,,56,33,207,59571,59571,240,59571,1,2,5785a50c29995b4b2c2578a5559f0b6456d33393,0,0,0,0,0,
1,20200812,WY,3086,56245.0,,15.0,187.0,,,,,2577.0,B,8/12/2020 18:05,2020-08-12T18:05:00Z,08/12 14:05,29.0,187.0,2020-08-12T18:05:00Z,84929.0,2632.0,82296.0,2600.0,,,,58845.0,,,,,,,,,,,56,13,466,59331,59331,479,59331,0,4,14ef5b8b0cd284e940d7da5935198437de43b04c,0,0,0,0,0,
2,20200811,WY,3073,55779.0,,15.0,183.0,,,,,2541.0,B,8/11/2020 18:39,2020-08-11T18:39:00Z,08/11 14:39,29.0,183.0,2020-08-11T18:39:00Z,84264.0,2612.0,81651.0,2584.0,,,,58363.0,,,,,,,,,,,56,31,1139,58852,58852,1170,58852,1,4,0c3b95255115d10d1f30ae668f253f578885af4f,0,0,0,0,0,
3,20200810,WY,3042,54640.0,,15.0,179.0,,,,,2483.0,B,8/10/2020 17:39,2020-08-10T17:39:00Z,08/10 13:39,28.0,179.0,2020-08-10T17:39:00Z,82445.0,2638.0,79806.0,2565.0,,,,57205.0,,,,,,,,,,,56,-8,1015,57682,57682,1007,57682,0,2,7f51584232d76a3d14d3ce3266b93b6e50f1add0,0,0,0,0,0,
4,20200809,WY,3050,53625.0,,17.0,177.0,,,,,2465.0,B,8/9/2020 11:46,2020-08-09T11:46:00Z,08/09 07:46,28.0,177.0,2020-08-09T11:46:00Z,80681.0,2581.0,78099.0,2533.0,,,,56115.0,,,,,,,,,,,56,37,0,56675,56675,37,56675,0,0,021f5495e9bd79bc162ceac8420c0d5bca6f6f26,0,0,0,0,0,
5,20200808,WY,3013,53625.0,,17.0,177.0,,,,,2462.0,B,8/8/2020 12:22,2020-08-08T12:22:00Z,08/08 08:22,28.0,177.0,2020-08-08T12:22:00Z,80681.0,2581.0,78099.0,2498.0,,,,56115.0,,,,,,,,,,,56,13,0,56638,56638,13,56638,0,1,1b3b86ced9b1fd0bac9e0e9c64d381da89e2f760,0,0,0,0,0,
6,20200807,WY,3000,53625.0,,17.0,176.0,,,,,2420.0,B,8/7/2020 17:53,2020-08-07T17:53:00Z,08/07 13:53,28.0,176.0,2020-08-07T17:53:00Z,80681.0,2581.0,78099.0,2490.0,,,,56115.0,,,,,,,,,,,56,42,475,56625,56625,517,56625,1,5,6f3194cdffe746d2f8b9bc3e9e530ef6c68d6163,0,0,0,0,0,
7,20200806,WY,2958,53150.0,,16.0,171.0,,,,,2366.0,B,8/6/2020 17:00,2020-08-06T17:00:00Z,08/06 13:00,27.0,171.0,2020-08-06T17:00:00Z,79982.0,2559.0,77422.0,2449.0,,,,55599.0,,,,,,,,,,,56,35,359,56108,56108,394,56108,0,2,ce52675acebb24d724a120d650cdaa0b78b21bd4,0,0,0,0,0,
8,20200805,WY,2923,52791.0,,16.0,169.0,,,,,2323.0,B,8/5/2020 16:45,2020-08-05T16:45:00Z,08/05 12:45,27.0,169.0,2020-08-05T16:45:00Z,79405.0,2540.0,76864.0,2424.0,,,,55215.0,,,,,,,,,,,56,39,432,55714,55714,471,55714,0,0,5d929f5efe6f8e3866073c1e8fac5ca2bd4709b5,0,0,0,0,0,
9,20200804,WY,2884,52359.0,,17.0,169.0,,,,,2284.0,B,8/4/2020 17:26,2020-08-04T17:26:00Z,08/04 13:26,27.0,169.0,2020-08-04T17:26:00Z,78634.0,2516.0,76117.0,2392.0,,,,54751.0,,,,,,,,,,,56,36,327,55243,55243,363,55243,0,2,6737fcb067bce805af5031afbecfb8d501a66f22,0,0,0,0,0,
